Sample_ID,Sample_Collection_Date,Site_name,Lat,Lon,Sample_type,d17O,d17O_unc,d18O,d18O_unc,dD,dD_unc,D17O,D17O_unc,D17O_unc_t,d_exc,d_exc_unc,Data_source,MinElevation,MeanElevation,MaxElevation,MinSlope,MeanSlope,MaxSlope,MeanAspect
BW-23-61,8/11/2023,P+J Outlet Canal,42.305539,-111.35867,Outlet,-6.944,0.023,-13.081,0.02,-105.386,0.282,1.327,6.143,6.51298151,-0.738,0.324228315,Project,1804.14,1804.14,1804.14,8.642829,8.642829,8.642829,272.93298
BW-23-66,8/11/2023,Inlet canal (ds of gage),42.2193588,-111.2957904,Inlet,-8.231,0.022,-15.554,0.018,-119.128,0.307,20.189,5.387,5.711244571,5.304,0.339094382,Project,1806.7921,1806.7921,1806.7921,11.335773,11.335773,11.335773,87.712578
BW-23-73,8/11/2023,"Bear Lake, near outlet canal connecting to Mud Lake",42.1165295,-111.2988833,Lake,-4.897,0.017,-9.203,0.022,-85.343,0.225,-10.423,6.604,7.001975092,-11.719,0.285658887,Project,1807.02,1807.02,1807.02,14.525659,14.525659,14.525659,192.99301
BW-23-74,8/11/2023,"Mud Lake, opposite of 71",42.1207692,-111.2984783,Lake,-5.968,0.018,-11.28,0.017,-97.223,0.249,1.408,6.3,6.679354154,-6.983,0.283719932,Project,1807.12,1807.12,1807.12,9.6848192,9.6848192,9.6848192,250.96683
BW-23-78,8/11/2023,Bear Lake at Sage Beach,42.019532,-111.2604389,Lake,-4.76,0.022,-8.974,0.024,-84.178,0.219,-6.513,5.895,6.250076345,-12.386,0.291247318,Project,1805.6007,1805.6007,1805.6007,0.54914886,0.54914886,0.54914886,129.73529
BW-23-81,8/11/2023,Bear Lake southeast side,41.9451764,-111.2785733,Lake,-4.804,0.022,-9.1,0.023,-84.816,0.221,-2.511,4.849,5.141241946,-12.016,0.287570861,Project,1805.84,1805.84,1805.84,5.8517814,5.8517814,5.8517814,270.73883
BW-23-83,8/11/2023,Bear Lake southeast side,41.9144717,-111.288246,Lake,-4.824,0.016,-9.122,0.019,-84.883,0.221,7.167,6.095,6.462054548,-11.907,0.268225651,Project,1804.62,1804.62,1804.62,5.5271721,5.5271721,5.5271721,244.27692
BW-23-85,8/11/2023,Bear Lake at Rest Stop beach,41.8573454,-111.3627407,Lake,-4.761,0.02,-8.975,0.019,-84.34,0.264,-12.582,11.767,12.98777435,-12.54,0.304630924,Project,1805.6553,1805.6553,1805.6553,1.4201339,1.4201339,1.4201339,110.44407
BW-23-87,8/11/2023,"Bear Lake at Public Beach, Garden City",41.9438879,-111.3864484,Lake,-4.774,0.017,-9.057,0.015,-84.541,0.224,-0.678,4.99,5.290022669,-12.085,0.254118083,Project,1804.0546,1804.0546,1804.0546,1.8334638,1.8334638,1.8334638,87.041893
BW-23-99,8/12/2023,Bear Lake west side,41.9786398,-111.4029437,Lake,-4.874,0.019,-9.253,0.018,-85.405,0.222,4.989,7.303,7.742400881,-11.381,0.264612925,Project,1805.2579,1805.2579,1805.2579,5.1411014,5.1411014,5.1411014,63.624325
BW-23-63,8/11/2023,North Paris Creek,42.2328613,-111.4011972,River_or_stream,-9.101,0.031,-17.204,0.023,-128.051,0.405,19.049,9.179,10.13097484,9.581,0.444838173,Project,1813.0718,1813.0718,1813.0718,3.9293151,3.9293151,3.9293151,287.30298
BW-23-64,8/11/2023,Furthest fork Paris Creek (confluence),42.218452,-111.4011885,River_or_stream,-9.062,0.033,-17.118,0.018,-124.686,0.333,-0.008,13.442,14.25100329,12.258,0.362801599,Project,1813.9464,1813.9464,1813.9464,7.7120695,7.7120695,7.7120695,267.1636
BW-23-65,8/11/2023,Creek before inlet,42.2353573,-111.3610891,River_or_stream,-8.986,0.038,-16.929,0.041,-123.374,0.403,-14.975,14.228,15.70297523,12.058,0.519608506,Project,1806.1788,1806.1788,1806.1788,3.3014851,3.3014851,3.3014851,65.992447
