,variable,value,uncertainty
0,prec_d18O_evap,-11.125846154250679,1.042525571657237
1,prec_d17O_evap,-5.857917670962397,0.5511677281678554
2,prec_D17O_evap,35.056633335222564,4.548217035184028
3,prec_dD_evap,-82.8914381179466,7.986183362122619
4,prec_d_exc_evap,6.1153311160588135,1.1227005970674397
5,influx_d18O,-15.480302527587705,0.2260311994729025
6,influx_d17O,-8.189342287598693,1.2840150595036195
7,influx_D17O,19.51931715430168,1.1101574266209362
8,influx_dD,-116.24129402479164,1.7297480868013546
9,influx_d_exc,7.601126195909991,0.1934441932870558
10,lake_d18O,-9.097714285714286,0.040182745814895324
11,lake_d17O,-4.813428571428572,0.020708702038902738
12,lake_D17O,-2.935857142857143,2.8117560893723423
13,lake_dD,-84.78657142857143,0.17810655680864598
14,lake_d_exc,-12.004857142857142,0.1478965900909963
15,prec_d18O_amt,-12.72577375108411,1.042525571657237
16,prec_d17O_amt,-6.710214170857889,0.5511677281678554
17,prec_D17O_amt,35.93931480890859,4.548217035184028
18,prec_dD_amt,-92.91812219135214,7.986183362122619
19,prec_d_exc_amt,8.888067817320765,1.1227005970674397
20,inlet_d18O,-15.554,0.018
21,inlet_d17O,-8.231,5.387
22,inlet_D17O,20.189,5.387
23,inlet_dD,-119.128,0.307
24,inlet_d_exc,5.304,0.339094382
25,creek_d18O,-17.365894005714008,0.2037402738133865
26,creek_d17O,-9.197302107039059,0.10612139470070658
27,creek_D17O,5.850888304073135,5.4484968960665
28,creek_dD,-127.24976750615447,1.056244637328066
29,creek_d_exc,11.677384539557611,1.0524817864190343
30,gw_d18O,-17.637999999999998,0.2700859122575631
31,gw_d17O,-9.347666666666667,0.14310431315807523
32,gw_D17O,2.7223333333333337,9.491916043548732
33,gw_dD,-131.94933333333333,2.8516921370380164
34,gw_d_exc,9.154666666666666,1.150255063501618
