Month,ave_temp_C,hum,evap_kg_m2,prec_amt_kg_m2
Jan,-7.555555556,0.95984995,0.049698605,1.0582975
Feb,-7,0.952770765,0.06853887,1.08810815
Mar,-1.888888889,0.917085565,0.11754752,1.001453
Apr,3.944444444,0.86471397,0.20421359,1.28587375
May,9.611111111,0.80278388,0.33965044,1.42706195
Jun,15.16666667,0.72821402,0.45484027,1.04725015
Jul,20,0.640866935,0.40859695,0.721257025
Aug,18.33333333,0.64573187,0.27370573,0.8155984
Sep,13.22222222,0.73052695,0.15451945,1.09931145
Oct,6.5,0.829593075,0.084198185,1.1369897
Nov,-0.444444444,0.918786535,0.06842623,1.15056995
Dec,-6.111111111,0.957017315,0.049384005,1.09457235
